,Mar_16_Provisions,Mar_14_Provisions,Mar_13_Sundry_Debtors,Mar_16_Total_Liabilities,Mar_16_Cash_and_Bank,Mar_15_Misc_Expenses,Mar_15_Total_Liabilities,Mar_17_Net_Current_Assessts,Mar_15_Gross_Block,Mar_14_Misc_Expenses,Mar_14_Secured_Loan,Mar_15_Total_Assests,Mar_15_Share_Capital,Mar_13_Misc_Expenses,Mar_13_Reserves_Surplus,Mar_16_Share_Capital,Mar_14_Net_Worth,Mar_16_Depreciation,Mar_16_Total_Current Liabilities,Mar_16_Investments,Mar_14_Share_Capital,Mar_17_Loans_And_Advances,Mar_15_Net_Block,Mar_13_Unsecured_Loan,Mar_17_Misc_Expenses,Mar_15_Reserves_Surplus,Mar_13_Net_Block,Mar_13_Net_Worth,Mar_15_Investments,Mar_14_Net_Current_Assessts,Mar_16_Unsecured_Loan,Mar_17_Total_Current_Assets,Mar_15_Secured_Loan,Mar_15_Total_Current Liabilities,Mar_15_Capital_Work_In_Progress,Mar_15_Current_Liabilities,Mar_16_Reserves_Surplus,Mar_13_Capital_Work_In_Progress,Mar_15_Unsecured_Loan,Mar_13_Depreciation,Mar_13_Net_Current_Assessts,Mar_16_Inventories,Mar_13_Total_Assests,Mar_14_Reserves_Surplus,Mar_14_Total_Liabilities,Mar_13_Total_Current_Assets,Mar_13_Total_Current Liabilities,Mar_13_Inventories,Mar_17_Inventories,Mar_13_Investments,Mar_15_Total_Current_Assets,Mar_15_Net_Worth,Mar_15_Net_Current_Assessts,Mar_13_Cash_and_Bank,Mar_14_Capital_Work_In_Progress,Mar_13_Share_Capital,Mar_13_Total_Liabilities,Mar_16_Misc_Expenses,Mar_17_Current_Liabilities,Mar_14_Sundry_Debtors,Mar_16_Net_Current_Assessts,Mar_13_Loans_And_Advances,Mar_15_Loans_And_Advances,Mar_16_Total_Current_Assets,Mar_14_Loans_And_Advances,Mar_16_Gross_Block,Mar_16_Current_Liabilities,Mar_17_Total_Assests,Mar_14_Total_Current_Assets,Mar_16_Secured_Loan,Mar_14_Unsecured_Loan,Mar_14_Total_Assests,Mar_13_Provisions,Mar_17_Total_Liabilities,Mar_17_Investments,Mar_17_Cash_and_Bank,Mar_14_Cash_and_Bank,Mar_13_Gross_Block,Mar_16_Capital_Work_In_Progress,Mar_17_Provisions,Mar_17_Capital_Work_In_Progress,Mar_14_Depreciation,Mar_15_Provisions,Mar_16_Loans_And_Advances,Mar_15_Inventories,Mar_17_Net_Worth,Mar_15_Cash_and_Bank,Mar_16_Sundry_Debtors,Mar_14_Inventories,Mar_16_Net_Block,Mar_17_Total_Current Liabilities,Mar_17_Gross_Block,Mar_14_Total_Current Liabilities,Mar_17_Depreciation,Mar_13_Secured_Loan,Mar_14_Net_Block,Mar_17_Secured_Loan,Mar_17_Sundry_Debtors,Mar_17_Share_Capital,Mar_17_Unsecured_Loan,Mar_16_Net_Worth,Mar_14_Current_Liabilities,Mar_15_Sundry_Debtors,Mar_13_Current_Liabilities,Mar_16_Total_Assests,Mar_17_Net_Block,Mar_17_Reserves_Surplus,Mar_15_Depreciation,Mar_14_Investments,Mar_14_Gross_Block,Mar_18_Provisions,Mar_18_Total_Current_Assets,Mar_18_Loans_And_Advances,Mar_18_Misc_Expenses,Mar_18_Gross_Block,Mar_18_Net_Worth,Mar_18_Investments,Mar_18_Current_Liabilities,Mar_18_Unsecured_Loan,Mar_18_Secured_Loan,Mar_18_Depreciation,Mar_18_Capital_Work_In_Progress,Mar_18_Sundry_Debtors,Mar_18_Net_Block,Mar_18_Total_Liabilities,Mar_18_Cash_and_Bank,Mar_18_Reserves_Surplus,Mar_18_Share_Capital,Mar_18_Inventories,Mar_18_Total_Assests,Mar_18_Total_Current Liabilities,Mar_18_Net_Current_Assessts,Dec_17_Misc_Expenses,Dec_16_Misc_Expenses,Dec_16_Capital_Work_In_Progress,Dec_16_Share_Capital,Dec_17_Gross_Block,Dec_16_Inventories,Dec_13_Loans_And_Advances,Dec_15_Net_Worth,Dec_13_Reserves_Surplus,Dec_13_Sundry_Debtors,Dec_17_Secured_Loan,Dec_14_Loans_And_Advances,Dec_17_Net_Current_Assessts,Dec_15_Total_Assests,Dec_14_Capital_Work_In_Progress,Dec_15_Misc_Expenses,Dec_17_Reserves_Surplus,Dec_17_Investments,Dec_14_Total_Liabilities,Dec_17_Unsecured_Loan,Dec_16_Total_Current Liabilities,Dec_17_Sundry_Debtors,Dec_13_Cash_and_Bank,Dec_15_Reserves_Surplus,Dec_13_Net_Block,Dec_17_Net_Block,Dec_13_Inventories,Dec_15_Capital_Work_In_Progress,Dec_17_Loans_And_Advances,Dec_13_Net_Current_Assessts,Dec_14_Total_Current Liabilities,Dec_16_Gross_Block,Dec_17_Capital_Work_In_Progress,Dec_13_Investments,Dec_15_Cash_and_Bank,Dec_14_Inventories,Dec_14_Secured_Loan,Dec_14_Net_Block,Dec_16_Net_Current_Assessts,Dec_13_Depreciation,Dec_17_Total_Liabilities,Dec_14_Net_Worth,Dec_17_Share_Capital,Dec_17_Inventories,Dec_14_Total_Assests,Dec_14_Net_Current_Assessts,Dec_16_Sundry_Debtors,Dec_13_Share_Capital,Dec_13_Total_Liabilities,Dec_16_Net_Block,Dec_14_Misc_Expenses,Dec_15_Current_Liabilities,Dec_14_Gross_Block,Dec_16_Loans_And_Advances,Dec_13_Capital_Work_In_Progress,Dec_14_Reserves_Surplus,Dec_14_Depreciation,Dec_14_Unsecured_Loan,Dec_15_Secured_Loan,Dec_13_Net_Worth,Dec_14_Cash_and_Bank,Dec_15_Unsecured_Loan,Dec_16_Current_Liabilities,Dec_17_Provisions,Dec_17_Total_Assests,Dec_15_Gross_Block,Dec_16_Unsecured_Loan,Dec_17_Net_Worth,Dec_15_Depreciation,Dec_15_Total_Current_Assets,Dec_14_Provisions,Dec_16_Investments,Dec_17_Total_Current_Assets,Dec_16_Reserves_Surplus,Dec_15_Net_Current_Assessts,Dec_15_Total_Liabilities,Dec_17_Current_Liabilities,Dec_13_Secured_Loan,Dec_14_Investments,Dec_16_Cash_and_Bank,Dec_15_Investments,Dec_15_Provisions,Dec_16_Total_Current_Assets,Dec_16_Provisions,Dec_14_Share_Capital,Dec_16_Total_Assests,Dec_13_Total_Current Liabilities,Dec_14_Total_Current_Assets,Dec_13_Current_Liabilities,Dec_14_Current_Liabilities,Dec_15_Net_Block,Dec_15_Loans_And_Advances,Dec_15_Total_Current Liabilities,Dec_14_Sundry_Debtors,Dec_13_Misc_Expenses,Dec_13_Total_Current_Assets,Dec_13_Unsecured_Loan,Dec_15_Sundry_Debtors,Dec_17_Depreciation,Dec_17_Cash_and_Bank,Dec_17_Total_Current Liabilities,Dec_15_Share_Capital,Dec_13_Total_Assests,Dec_13_Provisions,Dec_16_Total_Liabilities,Dec_15_Inventories,Dec_16_Depreciation,Dec_13_Gross_Block,Dec_16_Secured_Loan,Dec_16_Net_Worth
KNRCON,53.24,43.66,121.29,839.47,16.14,0.0,657.42,166.95,548.1,0.0,54.1,657.42,28.12,0.0,427.53,28.12,513.32,337.43,438.59,43.38,28.12,513.18,224.28,0.04,0.0,541.08,290.13,455.66,31.51,267.39,78.5,759.13,60.18,346.04,2.63,315.14,698.84,3.86,28.03,218.04,180.55,35.35,522.87,485.2,571.44,611.74,431.19,29.73,57.36,48.32,745.05,569.21,399.0,7.22,0.29,28.12,522.87,0.0,577.64,117.09,549.29,453.5,516.91,987.88,488.18,578.29,385.35,1025.75,650.52,34.01,4.02,571.44,109.29,1025.75,535.08,24.64,11.18,508.17,5.94,14.54,63.01,261.43,30.91,807.03,35.91,895.47,15.73,129.36,34.07,240.86,592.18,640.19,383.13,379.49,67.17,263.72,8.66,163.96,28.12,121.61,726.96,339.47,176.5,321.9,839.47,260.71,867.35,323.83,40.04,525.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOHINOOR,4.02,3.89,146.13,1273.77,7.26,0.0,1212.23,938.33,187.09,0.0,763.85,1212.23,35.24,0.0,337.6,35.24,485.07,119.51,134.25,132.51,35.24,155.41,73.85,32.8,0.0,376.32,94.78,365.79,132.4,1065.08,81.3,1107.81,799.61,333.36,0.69,330.78,380.13,3.57,1.06,83.48,937.4,973.84,1168.15,449.83,1288.81,1206.5,269.11,932.3,852.16,132.41,1338.65,411.56,1005.29,13.7,1.01,28.19,1168.15,0.0,166.31,284.96,1066.1,114.37,86.93,1200.35,58.86,194.43,130.23,1108.57,1440.89,777.09,39.9,1288.81,72.73,1108.57,100.39,17.48,8.2,178.26,0.24,3.17,2.75,94.7,2.58,84.42,1056.91,266.75,8.76,134.84,1088.87,74.92,169.48,192.0,375.81,124.9,769.56,90.32,797.86,82.76,35.24,43.97,415.38,371.92,186.05,196.37,1273.77,67.1,231.51,113.24,132.4,185.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKUYOCMLN,5.32,1.77,,312.74,67.28,0.0,281.6,194.87,175.25,0.0,0.0,281.6,10.03,,,10.03,208.62,77.66,134.74,0.17,10.03,58.36,107.05,,0.0,203.05,,,0.17,189.95,94.31,319.64,0.12,136.32,1.3,131.2,208.31,,68.4,,,124.37,,198.59,275.44,,,,140.85,,309.4,213.08,173.08,,5.95,,,0.0,120.6,70.84,182.48,,34.82,317.22,44.32,182.77,129.41,355.84,307.07,0.09,66.83,275.44,,355.84,9.78,14.09,84.73,,24.98,4.17,49.6,57.07,5.12,34.58,123.28,227.89,74.33,91.0,107.19,105.11,124.77,112.89,117.13,11.29,,78.88,0.0,106.34,10.03,127.95,218.34,115.35,76.96,,312.74,101.6,217.86,68.2,0.67,135.94,4.72,315.76,42.94,0.0,184.94,238.3,10.54,108.74,133.09,0.0,26.41,0.03,109.51,158.53,371.39,4.55,228.27,10.03,158.76,371.39,113.46,202.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLTEPATIL,20.46,23.29,42.32,1139.03,21.91,0.0,958.27,631.88,35.24,0.0,119.08,958.27,75.77,0.0,684.03,75.77,754.39,14.77,463.24,521.91,75.77,374.79,23.06,73.95,0.0,703.47,12.29,759.81,409.48,480.82,0.0,1350.2,127.68,435.42,0.0,408.15,733.14,0.0,51.35,6.57,367.36,625.94,907.85,678.62,924.82,606.32,238.96,253.92,831.56,528.21,961.15,779.24,525.73,51.65,4.57,75.77,907.85,0.0,712.37,51.85,592.56,258.43,368.79,1055.8,297.05,39.33,442.78,934.73,798.6,330.12,51.35,924.82,173.87,934.73,276.77,32.77,11.92,18.85,0.0,5.95,0.0,8.05,27.27,351.87,538.17,797.58,16.27,56.08,437.78,24.56,718.32,31.38,317.78,5.3,74.09,14.47,137.15,111.08,75.77,0.0,808.91,294.49,37.92,65.09,1139.03,26.08,721.81,12.18,424.96,22.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOPRAN,2.93,3.69,49.61,225.51,4.35,0.0,211.62,50.64,78.04,0.0,60.95,211.62,63.87,0.0,80.48,51.83,145.15,47.6,53.23,156.07,47.63,43.93,33.46,66.54,0.0,121.81,106.18,128.11,46.07,150.27,21.65,110.62,23.81,62.99,0.19,59.39,144.82,0.93,2.13,157.9,107.99,28.13,221.97,97.52,260.64,179.06,71.08,36.74,25.09,6.87,194.89,185.68,131.9,3.63,0.84,47.63,221.97,0.0,54.04,54.64,34.27,89.08,148.16,87.51,106.43,82.58,50.3,250.5,218.63,7.22,54.54,260.64,3.68,250.5,156.07,1.73,4.54,264.07,0.19,5.94,4.44,170.24,3.61,35.4,14.06,209.51,3.62,19.63,53.02,34.98,59.98,90.28,68.35,50.94,27.32,102.66,21.76,39.86,51.83,19.22,196.65,64.66,29.06,67.39,225.51,39.34,157.69,44.58,6.87,272.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,0.0,0.0,,183580.83,10879.72,0.0,101154.11,159527.46,1206.71,0.0,12895.58,101154.11,389.17,,,920.6,12283.61,0.0,8678.96,51260.22,393.69,145406.13,1206.71,,0.0,13754.91,,,30421.09,57660.03,138643.02,167978.14,12149.71,4857.97,0.0,4857.97,23041.87,,74860.31,,,0.0,,11889.93,84251.52,,,,0.0,,74384.28,14144.08,69526.31,,0.0,,,0.0,8450.68,0.0,130769.02,,68121.92,139447.98,55013.96,1551.59,8678.96,206139.28,60993.85,20975.34,59072.33,84251.52,,206139.28,45074.19,22572.01,5979.89,,0.0,0.0,0.0,0.0,0.0,128568.26,0.0,27617.94,6262.36,0.0,0.0,1551.59,8450.68,1537.63,3333.82,0.0,,1106.94,21095.48,0.0,922.32,157425.86,23962.47,3333.82,0.0,,183580.83,1537.63,26695.62,0.0,25484.55,1106.94,0.0,198843.89,179223.78,0.0,1527.16,37483.82,64562.35,9652.15,192643.27,25154.15,0.0,0.0,0.0,1527.16,255281.25,19620.11,36528.83,954.99,0.0,255281.25,9652.15,189191.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTARISUG,0.88,0.57,16.73,256.28,16.57,0.0,270.05,38.78,400.43,0.0,112.29,270.05,87.26,0.0,40.41,83.76,128.48,205.92,111.86,17.83,90.14,8.91,209.03,21.45,0.0,33.81,226.7,131.55,18.36,6.73,6.23,169.47,142.75,88.05,0.01,87.29,34.98,0.66,6.23,159.49,60.54,116.17,296.28,38.35,247.01,147.92,87.38,97.74,143.85,8.38,130.7,121.07,42.66,12.69,5.5,91.14,296.28,0.0,129.73,13.25,43.63,20.77,14.47,155.48,16.51,400.73,110.98,249.07,135.06,131.3,6.23,247.01,0.57,249.07,18.78,2.73,2.9,386.18,0.01,0.96,0.38,175.48,0.75,13.46,99.35,127.34,8.7,9.28,102.4,194.81,130.69,411.36,128.33,220.23,143.28,218.95,115.5,13.99,82.89,6.23,118.75,127.76,8.18,86.81,256.28,191.13,44.46,191.41,15.84,394.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTHARIPET,0.36,6.94,21.42,84.63,16.44,0.0,87.32,35.82,65.93,0.0,11.81,87.32,59.19,0.0,1.44,59.19,61.65,16.63,25.63,6.14,59.19,9.91,51.87,0.0,0.0,5.41,48.44,60.63,11.95,15.74,0.0,63.73,22.73,31.12,1.94,22.79,7.51,0.0,0.0,8.25,16.91,9.39,68.53,2.46,79.45,44.96,28.05,10.42,10.61,3.18,52.69,64.59,21.57,4.44,5.77,59.19,68.53,0.0,27.64,30.88,23.95,8.68,10.01,49.58,8.08,69.22,25.27,104.82,47.16,17.94,6.0,79.45,5.19,104.82,0.0,23.67,2.2,56.7,1.95,0.27,6.31,10.25,8.33,7.38,9.79,70.9,9.04,16.37,6.01,52.6,27.9,82.25,31.42,19.57,7.9,47.01,33.92,19.53,59.19,0.0,66.69,24.47,23.86,22.86,84.63,62.68,11.71,14.07,10.93,57.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTHARIPRO,0.0,91.22,1227.99,819.97,50.69,0.0,864.6,-631.5,35.98,0.0,112.86,864.6,19.9,0.0,674.87,29.84,709.83,12.75,2695.27,1354.65,6.63,157.48,23.97,7.48,0.0,721.65,25.05,681.5,1570.25,-716.11,2.13,1737.33,121.22,3014.98,0.0,2921.26,740.64,0.0,1.83,8.57,656.19,76.25,870.45,703.2,822.93,3020.76,2364.57,72.88,45.48,189.21,2285.36,741.55,-729.62,1369.39,0.0,6.63,870.45,0.0,2358.05,1229.26,-562.33,350.5,370.57,2132.94,273.91,23.61,2695.27,934.49,1645.62,47.36,0.24,822.93,88.52,934.49,1534.12,42.1,63.33,33.62,16.79,10.78,21.75,9.25,93.72,249.2,68.13,824.21,38.13,1756.8,79.12,10.86,2368.83,23.96,2361.73,13.84,181.47,25.18,109.11,1492.27,29.84,1.17,770.48,2270.51,1808.53,2276.05,819.97,10.12,794.37,12.01,1513.86,34.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPIT,37.7,64.39,222.51,1439.84,219.8,0.0,1455.63,667.53,368.97,0.0,376.84,1455.63,38.38,0.0,848.61,37.63,1044.93,29.02,251.52,515.64,38.58,280.94,194.87,0.0,0.0,1005.26,142.82,887.27,553.3,424.08,0.0,927.03,322.04,250.63,10.98,183.56,1181.5,20.06,89.96,117.13,245.78,30.72,1148.63,1006.34,1421.77,428.57,182.79,0.0,7.5,739.96,947.11,1043.63,696.48,68.98,2.22,38.66,1148.63,0.0,213.64,356.8,661.78,137.08,276.68,913.29,218.9,258.36,213.82,1660.48,635.76,220.71,0.0,1421.77,42.51,1660.48,631.66,138.03,57.73,259.95,33.08,45.86,125.98,145.97,67.07,297.95,20.77,1374.32,180.57,364.82,2.33,229.34,259.5,298.47,211.69,63.16,261.36,180.18,286.16,500.56,37.65,0.0,1219.13,147.3,469.09,140.28,1439.84,235.3,1336.67,174.09,815.3,326.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPRMILL,0.72,17.46,137.8,1504.97,18.58,0.0,1438.65,531.16,1770.8,0.0,576.67,1438.65,52.68,0.0,624.81,37.68,774.98,126.79,225.46,78.06,52.68,245.75,924.44,3.42,0.0,825.72,1029.7,677.49,79.88,215.6,0.0,793.89,560.25,292.75,0.0,258.18,943.37,0.0,0.0,599.19,-89.82,266.32,1080.5,722.3,1352.62,417.45,507.27,139.35,306.68,140.62,727.08,878.4,434.33,62.25,5.98,52.68,1080.5,0.0,262.73,192.04,532.41,78.05,199.94,757.87,74.67,1020.95,224.74,1537.52,548.67,523.92,0.97,1352.62,18.28,1537.52,88.29,28.08,40.74,1628.89,0.34,0.0,2.08,723.16,34.57,213.32,284.34,1118.06,19.3,259.65,241.22,894.16,262.73,1034.99,333.07,119.0,399.59,956.88,419.46,213.38,36.95,0.0,981.05,315.61,223.5,488.99,1504.97,915.99,1081.11,846.36,174.16,1680.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRBL,16.18,37.01,195.01,2677.67,17.87,0.0,2540.46,1905.24,1010.06,0.0,1315.55,2540.46,23.54,0.0,773.8,23.54,1019.96,424.44,310.38,11.59,23.58,114.11,634.82,20.99,0.0,1235.47,437.87,798.04,10.87,1752.68,147.27,2366.9,948.93,458.63,113.74,410.48,1562.11,15.12,332.52,263.75,1170.22,1741.63,1633.75,996.38,2335.51,1514.31,344.09,1260.29,2018.64,10.54,2239.67,1259.0,1781.04,12.81,14.4,24.24,1633.75,0.0,447.31,279.25,1795.54,46.19,58.71,2105.93,71.46,1194.71,294.21,2923.99,2104.44,944.74,0.0,2335.51,25.51,2923.99,14.38,3.07,63.82,701.62,100.26,14.34,5.99,320.62,48.15,90.35,1858.48,1871.61,6.91,256.08,1689.9,770.27,461.65,1479.59,351.76,481.22,814.73,557.85,797.06,231.07,23.54,255.31,1585.65,314.75,315.58,318.57,2677.67,998.37,1848.08,375.25,10.58,878.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRIDHANINF,0.75,0.3,31.99,99.96,0.4,0.0,91.16,57.12,21.27,0.0,18.79,91.16,17.42,0.0,40.99,14.82,69.07,5.05,13.81,30.56,16.4,33.83,17.11,0.0,0.0,60.78,16.26,52.71,30.56,39.3,0.0,91.31,12.96,8.0,0.0,7.61,71.75,2.35,0.0,2.42,26.87,10.09,75.12,52.67,87.86,60.18,33.32,12.18,10.14,29.63,51.49,78.2,43.48,0.38,2.35,11.72,75.12,0.0,33.12,19.65,52.57,15.64,19.44,66.38,12.7,21.89,13.06,104.36,44.77,13.4,0.0,87.86,0.21,104.36,30.56,0.39,1.06,18.68,0.0,1.06,0.0,3.28,0.39,24.27,14.22,86.35,0.32,31.62,11.36,16.83,34.18,22.62,5.46,5.95,22.4,15.64,18.0,46.95,14.82,0.0,86.57,5.16,17.51,33.1,99.96,16.67,71.54,4.16,30.56,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSBPUMPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.5,34.81,600.44,211.86,90.67,553.23,428.44,126.02,12.63,103.24,356.56,554.52,9.96,0.0,627.72,6.32,530.07,0.0,362.8,261.0,154.63,518.42,181.25,308.2,183.3,14.22,116.36,270.63,332.1,488.55,4.09,6.32,225.24,201.77,24.38,190.81,355.68,199.05,675.16,505.69,34.81,247.64,530.07,322.99,179.73,34.81,466.43,218.63,0.0,269.21,413.03,129.5,8.24,470.89,222.22,0.0,1.3,463.25,172.08,0.0,282.47,78.06,675.16,436.79,0.0,662.53,242.74,686.5,64.02,6.32,710.77,557.13,339.94,554.52,276.15,3.19,6.32,197.38,6.32,77.36,718.48,80.32,34.81,597.12,283.99,655.09,231.6,268.08,194.05,101.51,346.56,178.01,0.0,554.62,0.0,177.11,292.24,85.78,354.21,34.81,466.43,52.4,597.12,182.64,269.92,380.3,5.18,591.94
KSCL,7.14,23.3,68.14,917.26,6.92,0.0,760.68,116.28,217.31,0.0,0.84,760.68,14.32,0.0,332.14,13.81,519.12,89.01,395.18,508.57,14.27,80.82,152.14,0.0,0.0,744.96,133.08,346.63,316.53,94.59,0.0,607.66,1.4,441.24,61.66,417.17,901.81,3.65,0.0,42.1,72.49,497.49,347.47,504.85,519.96,593.55,521.06,491.06,439.97,138.25,671.59,759.28,230.36,13.36,11.66,14.49,347.47,0.0,471.64,62.95,194.7,20.99,27.26,589.87,31.43,283.5,388.04,1025.65,596.36,1.64,0.0,519.96,15.7,1025.65,686.65,17.05,4.94,175.18,19.51,19.74,28.67,55.29,24.07,22.32,486.76,1024.01,4.06,63.15,497.04,194.49,491.38,310.1,501.77,116.04,0.84,135.38,1.64,69.83,13.81,0.0,915.63,478.47,153.51,505.36,917.26,194.06,1010.2,65.17,278.33,190.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSERASERA,2.88,2.88,28.56,284.68,0.03,0.0,287.77,73.93,34.33,0.0,0.0,287.77,213.59,0.0,77.39,213.59,267.12,12.97,4.71,195.99,207.94,76.13,24.44,26.51,0.0,57.93,28.7,296.74,193.67,68.09,15.87,78.8,0.0,5.13,0.0,2.25,55.22,0.0,16.25,5.71,106.98,0.0,323.75,59.18,290.82,122.96,15.98,0.0,0.0,188.07,74.79,271.51,69.66,0.64,0.0,219.35,323.75,0.0,0.32,3.35,68.7,93.76,71.06,73.41,69.64,32.97,1.83,288.38,73.05,0.0,23.7,290.82,8.58,288.38,198.36,0.01,0.06,34.41,0.0,4.55,0.0,7.16,2.88,70.47,0.0,267.78,0.16,2.91,0.0,19.99,4.87,31.14,4.96,15.05,0.5,27.79,0.0,2.67,213.59,20.6,268.81,2.08,3.57,7.4,284.68,16.08,54.19,9.89,194.94,34.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSK,0.0,1.92,0.0,3903.06,33.76,0.0,3753.36,-214.83,25.16,0.0,77.68,3753.36,633.91,0.0,2230.89,423.99,2665.13,0.65,386.02,3914.35,439.63,326.86,17.52,603.08,0.0,2639.77,19.58,2703.51,3641.08,-175.18,570.27,390.59,37.11,398.45,0.83,397.77,2782.93,0.1,442.58,4.79,540.1,0.0,3537.31,2225.5,2831.37,1000.5,460.4,0.0,0.0,2977.53,492.38,3273.68,93.93,26.76,0.77,472.63,3537.31,0.0,605.42,21.76,-20.85,973.74,399.73,365.17,270.65,2.79,386.02,3802.9,314.4,125.87,88.55,2831.37,1.94,3802.9,4008.58,32.77,22.0,24.36,7.42,0.0,7.42,5.61,0.68,238.39,0.0,3119.42,81.62,93.02,0.0,2.14,605.42,2.79,489.58,1.05,230.72,20.08,158.57,30.95,423.99,524.9,3206.92,487.66,11.03,458.46,3903.06,1.74,2695.44,7.64,2985.69,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
